id,title_english,title_original,director,country,winner,festival,year_festival,link_film,link_director
937,Meeting Venus,N/A,István Szabó,"UK, France, Italy",0,venice,1991,https://en.wikipedia.org/wiki/Meeting_Venus,https://en.wikipedia.org/wiki/Istv%C3%A1n_Szab%C3%B3
938,Mississippi Masala,N/A,Mira Nair,USA,0,venice,1991,https://en.wikipedia.org/wiki/Mississippi_Masala,https://en.wikipedia.org/wiki/Mira_Nair
939,My Own Private Idaho,N/A,Gus Van Sant,USA,0,venice,1991,https://en.wikipedia.org/wiki/My_Own_Private_Idaho,https://en.wikipedia.org/wiki/Gus_Van_Sant
940,Necessary Love,L'amore necessario,Fabio Carpi,Italy,0,venice,1991,https://en.wikipedia.org/wiki/Necessary_Love,https://en.wikipedia.org/wiki/Fabio_Carpi
941,Night and Day,Nuit et Jour,Chantal Akerman,Belgium,0,venice,1991,https://en.wikipedia.org/wiki/Night_and_Day_(1991_film),https://en.wikipedia.org/wiki/Chantal_Akerman
942,Prospero's Books,N/A,Peter Greenaway,UK,0,venice,1991,https://en.wikipedia.org/wiki/Prospero%27s_Books,https://en.wikipedia.org/wiki/Peter_Greenaway
943,Raise the Red Lantern,Dà Hóng Dēnglong Gāogāo Guà,Zhang Yimou,China,0,venice,1991,https://en.wikipedia.org/wiki/Raise_the_Red_Lantern,https://en.wikipedia.org/wiki/Zhang_Yimou
944,The Rubber Wall,Il muro di gomma,Marco Risi,Italy,0,venice,1991,https://en.wikipedia.org/wiki/The_Rubber_Wall_(1991_film),https://en.wikipedia.org/wiki/Marco_Risi
945,Scream of Stone,Cerro Torre: Schrei aus Stein,Werner Herzog,"Germany, France, Canada, Italy",0,venice,1991,https://en.wikipedia.org/wiki/Scream_of_Stone,https://en.wikipedia.org/wiki/Werner_Herzog
946,The Secret Face,Gizli Yüz,Ömer Kavur,Turkey,0,venice,1991,https://en.wikipedia.org/wiki/The_Secret_Face,https://en.wikipedia.org/wiki/%C3%96mer_Kavur
947,A Simple Story,Una storia semplice,Emidio Greco,Italy,0,venice,1991,https://en.wikipedia.org/wiki/Una_storia_semplice_(film),https://en.wikipedia.org/wiki/Emidio_Greco
948,Walking a Tightrope,Les Équilibristes,Nicos Papatakis,France,0,venice,1991,https://en.wikipedia.org/wiki/Walking_a_Tightrope,https://en.wikipedia.org/wiki/Nicos_Papatakis
949,The Absence,Die Abwesenheit,Peter Handke,Germany,0,venice,1992,https://en.wikipedia.org/wiki/The_Absence_(film),https://en.wikipedia.org/wiki/Peter_Handke
950,Acla's Descent into Floristella,La discesa di Aclà a Floristella,Aurelio Grimaldi,Italy,0,venice,1992,https://en.wikipedia.org/wiki/Acla%27s_Descent_into_Floristella,https://en.wikipedia.org/wiki/Aurelio_Grimaldi
951,Brothers and Sisters,Fratelli e sorelle,Pupi Avati,Italy,0,venice,1992,https://en.wikipedia.org/wiki/Brothers_and_Sisters_(1992_film),https://en.wikipedia.org/wiki/Pupi_Avati
952,Chasing Butterflies,La Chasse aux papillons,Otar Iosseliani,France,0,venice,1992,https://en.wikipedia.org/wiki/La_Chasse_aux_papillons,https://en.wikipedia.org/wiki/Otar_Iosseliani
953,Death of a Neapolitan Mathematician,Morte di un matematico napoletano,Mario Martone,Italy,0,venice,1992,https://en.wikipedia.org/wiki/Death_of_a_Neapolitan_Mathematician,https://en.wikipedia.org/wiki/Mario_Martone
954,Glengarry Glen Ross,N/A,James Foley,USA,0,venice,1992,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross,https://en.wikipedia.org/wiki/James_Foley_(director)
955,Guelwaar,N/A,Ousmane Sembène,Senegal,0,venice,1992,https://en.wikipedia.org/wiki/Guelwaar,https://en.wikipedia.org/wiki/Ousmane_Semb%C3%A8ne
956,Ham Ham,Jamón Jamón,Bigas Luna,Spain,0,venice,1992,https://en.wikipedia.org/wiki/Jam%C3%B3n_Jam%C3%B3n,https://en.wikipedia.org/wiki/Bigas_Luna
957,A Heart in Winter,Un cœur en hiver,Claude Sautet,France,0,venice,1992,https://en.wikipedia.org/wiki/A_Heart_in_Winter,https://en.wikipedia.org/wiki/Claude_Sautet
958,In the Soup,N/A,Alexandre Rockwell,USA,0,venice,1992,https://en.wikipedia.org/wiki/In_the_Soup,https://en.wikipedia.org/wiki/Alexandre_Rockwell
959,L.627,N/A,Bertrand Tavernier,France,0,venice,1992,https://en.wikipedia.org/wiki/L.627,https://en.wikipedia.org/wiki/Bertrand_Tavernier
960,The Last Dive,O Último Mergulho,João César Monteiro,Portugal,0,venice,1992,https://en.wikipedia.org/w/index.php?title=O_%C3%9Altimo_Mergulho&action=edit&redlink=1,https://en.wikipedia.org/wiki/Jo%C3%A3o_C%C3%A9sar_Monteiro
961,Luxury Hotel,Hotel de Lux,Dan Pița,Romania,0,venice,1992,https://en.wikipedia.org/wiki/Luxury_Hotel,https://en.wikipedia.org/wiki/Dan_Pi%C8%9Ba
962,"Olivier, Olivier",N/A,Agnieszka Holland,France,0,venice,1992,"https://en.wikipedia.org/wiki/Olivier,_Olivier",https://en.wikipedia.org/wiki/Agnieszka_Holland
963,Orlando,N/A,Sally Potter,UK,0,venice,1992,https://en.wikipedia.org/wiki/Orlando_(film),https://en.wikipedia.org/wiki/Sally_Potter
964,The Plague,La Peste,Luis Puenzo,Argentina,0,venice,1992,https://en.wikipedia.org/wiki/The_Plague_(1992_film),https://en.wikipedia.org/wiki/Luis_Puenzo
965,Raising Cain,N/A,Brian De Palma,USA,0,venice,1992,https://en.wikipedia.org/wiki/Raising_Cain,https://en.wikipedia.org/wiki/Brian_De_Palma
966,The Sentimental Policeman,Chuvstvitelnyy militsioner,Kira Muratova,"Ukraine, France",0,venice,1992,https://en.wikipedia.org/wiki/The_Sentimental_Policeman,https://en.wikipedia.org/wiki/Kira_Muratova
967,The Story of Qiu Ju,Qiu Ju da guan si,Zhang Yimou,China,1,venice,1992,https://en.wikipedia.org/wiki/The_Story_of_Qiu_Ju,https://en.wikipedia.org/wiki/Zhang_Yimou
968,The Well,Kaivo,Pekka Lehto,Finland,0,venice,1992,https://en.wikipedia.org/wiki/Kaivo,https://en.wikipedia.org/wiki/Pekka_Lehto
969,"1, 2, 3, Sun","Un, deux, trois, soleil",Bertrand Blier,France,0,venice,1993,"https://en.wikipedia.org/wiki/1,_2,_3,_Sun",https://en.wikipedia.org/wiki/Bertrand_Blier
970,Alas for Me,Hélas pour moi,Jean-Luc Godard,France,0,venice,1993,https://en.wikipedia.org/wiki/H%C3%A9las_pour_moi,https://en.wikipedia.org/wiki/Jean-Luc_Godard
971,Bad Boy Bubby,N/A,Rolf de Heer,"Australia, Italy",0,venice,1993,https://en.wikipedia.org/wiki/Bad_Boy_Bubby,https://en.wikipedia.org/wiki/Rolf_de_Heer
972,Chatterbox,Za zui zi,Liu Miaomiao,China,0,venice,1993,https://en.wikipedia.org/wiki/Chatterbox_(1993_film),https://en.wikipedia.org/wiki/Liu_Miaomiao_(director)
973,Conversation with a Cupboard Man,Rozmowa z człowiekiem z szafy,Mariusz Grzegorzek,Poland,0,venice,1993,https://en.wikipedia.org/wiki/Conversation_with_a_Cupboard_Man,https://en.wikipedia.org/w/index.php?title=Mariusz_Grzegorzek&action=edit&redlink=1
974,Dangerous Game,Snake Eyes,Abel Ferrara,"Italy, USA",0,venice,1993,https://en.wikipedia.org/wiki/Dangerous_Game_(1993_film),https://en.wikipedia.org/wiki/Abel_Ferrara
975,Even Cowgirls Get the Blues,N/A,Gus Van Sant,United States,0,venice,1993,https://en.wikipedia.org/wiki/Even_Cowgirls_Get_the_Blues_(film),https://en.wikipedia.org/wiki/Gus_Van_Sant
976,Here on Earth,Aqui na Terra,João Botelho,"Portugal, UK",0,venice,1993,https://en.wikipedia.org/wiki/Aqui_na_Terra,https://en.wikipedia.org/wiki/Jo%C3%A3o_Botelho
977,I Don't Want to Talk About It,De eso no se habla,María Luisa Bemberg,"Argentina, Italy",0,venice,1993,https://en.wikipedia.org/wiki/I_Don%27t_Want_to_Talk_About_It_(film),https://en.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Bemberg
978,N/A,Kosh ba kosh,Bakhtyar Khudojnazarov,"Tajikistan, Russia, Switzerland, Germany, Japan",0,venice,1993,https://en.wikipedia.org/wiki/Kosh_ba_kosh,https://en.wikipedia.org/wiki/Bakhtyar_Khudojnazarov
979,Next Time the Fire,La prossima volta il fuoco,Fabio Carpi,"Italy, France, Switzerland",0,venice,1993,https://en.wikipedia.org/wiki/Next_Time_the_Fire,https://en.wikipedia.org/wiki/Fabio_Carpi
980,Outrage!,¡Dispara!,Carlos Saura,"Spain, Italy",0,venice,1993,https://en.wikipedia.org/wiki/%C2%A1Dispara!,https://en.wikipedia.org/wiki/Carlos_Saura
981,Shadow of a Doubt,L'ombre du doute,Aline Issermann,France,0,venice,1993,https://en.wikipedia.org/wiki/Shadow_of_a_Doubt_(1993_film),https://en.wikipedia.org/wiki/Aline_Issermann
982,Short Cuts,N/A,Robert Altman,United States,1,venice,1993,https://en.wikipedia.org/wiki/Short_Cuts,https://en.wikipedia.org/wiki/Robert_Altman
983,A Soul Split in Two,Un'anima divisa in due,Silvio Soldini,"Italy, Switzerland, France",0,venice,1993,https://en.wikipedia.org/wiki/A_Soul_Split_in_Two,https://en.wikipedia.org/wiki/Silvio_Soldini
984,Temptation of a Monk,You Cheng,Clara Law,Hong Kong,0,venice,1993,https://en.wikipedia.org/wiki/Temptation_of_a_Monk,https://en.wikipedia.org/wiki/Clara_Law
985,Three Colors: Blue,Trois couleurs : Bleu,Krzysztof Kieślowski,"France, Poland, Switzerland",1,venice,1993,https://en.wikipedia.org/wiki/Three_Colors:_Blue,https://en.wikipedia.org/wiki/Krzysztof_Kie%C5%9Blowski
986,Where Are You? I'm Here,Dove siete? Io sono qui,Liliana Cavani,Italy,0,venice,1993,https://en.wikipedia.org/wiki/Where_Are_You%3F_I%27m_Here,https://en.wikipedia.org/wiki/Liliana_Cavani
987,"6 Days, 6 Nights",À la folie,Diane Kurys,France,0,venice,1994,https://en.wikipedia.org/wiki/%C3%80_la_folie,https://en.wikipedia.org/wiki/Diane_Kurys
988,Before the Rain,Pred doždot,Milcho Manchevski,"France, UK, Macedonia",1,venice,1994,https://en.wikipedia.org/wiki/Before_the_Rain_(1994_film),https://en.wikipedia.org/wiki/Milcho_Manchevski
989,The Bull,Il toro,Carlo Mazzacurati,Italy,0,venice,1994,https://en.wikipedia.org/wiki/Il_toro,https://en.wikipedia.org/wiki/Carlo_Mazzacurati
990,The Heart's Cry,Le cri du coeur,Idrissa Ouedraogo,"France, Burkina Faso",0,venice,1994,https://en.wikipedia.org/wiki/The_Heart%27s_Cry,https://en.wikipedia.org/wiki/Idrissa_Ouedraogo
991,Heavenly Creatures,N/A,Peter Jackson,New Zealand,0,venice,1994,https://en.wikipedia.org/wiki/Heavenly_Creatures,https://en.wikipedia.org/wiki/Peter_Jackson
992,In the Heat of the Sun,Yángguāng cànlàn de rìzi,Jiang Wen,China,0,venice,1994,https://en.wikipedia.org/wiki/In_the_Heat_of_the_Sun,https://en.wikipedia.org/wiki/Jiang_Wen
993,Lamerica,N/A,Gianni Amelio,Italy,0,venice,1994,https://en.wikipedia.org/wiki/Lamerica,https://en.wikipedia.org/wiki/Gianni_Amelio
994,Life and Extraordinary Adventures of Private Ivan Chonkin,Zivot a neobycejna dobrodruzstvi vojaka Ivana Conkina,Jiří Menzel,"Russia, Czech Republic, France, UK, Italy",0,venice,1994,https://en.wikipedia.org/wiki/Life_and_Extraordinary_Adventures_of_Private_Ivan_Chonkin,https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Menzel
